id|marca|nombre|precio|precio_1|precio_2|precio_3|precio_unitario|rubro|url_imagen|url_producto
""|ALCAZAR|Vinagre Alcazar De Alcohol x 500cc|35.05|||||Almacén > Aceites y Vinagres > Vinagres|578416-512-512|vinagre-alcazar-de-alcohol-2/p
""|""|""|0|||||Almacén > Aceites y Vinagres > Vinagres||""
""|JUMBO MP|Vinagre De Alcohol Jumbo 1lt|91.0|||||Almacén > Aceites y Vinagres > Vinagres|206758-512-512|vinagre-de-alcohol-jumbo/p
""|MENOYO|Vinagre De Alcohol Menoyo 1lt|124.0|||||Almacén > Aceites y Vinagres > Vinagres|657914-512-512|vinagre-menoyo-de-alcohol-2/p
""|CASALTA|Vinagre De Alcohol Clasico Botella 1lt|99.0|||||Almacén > Aceites y Vinagres > Vinagres|567524-512-512|vinagre-de-alcohol-clasicox1lt/p
""|MENOYO|Vinagre De Vino Menoyo 500ml|86.0|||||Almacén > Aceites y Vinagres > Vinagres|657925-512-512|vinagre-menoyo-de-vino-2/p
""|MENOYO|Vinagre De Alcohol Menoyo 500ml|69.0|||||Almacén > Aceites y Vinagres > Vinagres|657926-512-512|vinagre-menoyo-de-alcohol/p
""|FAVINCO|Vinagre De Alcohol Favinco Sin Tacc x 1lt|85.0|||||Almacén > Aceites y Vinagres > Vinagres|646151-512-512|vinagre-de-alcohol-favinco-sin-tacc-x-1lt/p
""|MENOYO|Vinagre De Vino Blanco Menoyo x 500cc|69.7|||||Almacén > Aceites y Vinagres > Vinagres|657947-512-512|vinagre-de-vino-blanco-menoyo-x-500cc/p
""|ALCAZAR|Vinagre Manzana Alcazar 1000ml|96.3|||||Almacén > Aceites y Vinagres > Vinagres|578501-512-512|vinagre-manzana-alcazar-1000-ml/p
""|CASALTA|Vinagre De Manzana Casalta 1lt|165.0|||||Almacén > Aceites y Vinagres > Vinagres|567522-512-512|vinagre-de-manzana-casalta-1lt/p
""|MENOYO|Vinagre De Manzana Menoyo 1lt|166.0|||||Almacén > Aceites y Vinagres > Vinagres|657918-512-512|vinagre-menoyo-de-manzana-2/p
""|MENOYO|Vinagre De Manzana Menoyo 500ml|100.0|||||Almacén > Aceites y Vinagres > Vinagres|657923-512-512|vinagre-menoyo-de-manzana/p
""|JUMBO MP|Vinagre De Manzana Jumbo 500ml|94.0|||||Almacén > Aceites y Vinagres > Vinagres|558028-512-512|vinagre-de-manzana-jumbo-2/p
""|JUMBO MP|Vinagre De Alcohol Jumbo 500ml|62.0|||||Almacén > Aceites y Vinagres > Vinagres|206938-512-512|vinagre-de-alcohol-jumbo-2/p
""|MENOYO|Vinagre De Vino Menoyo 1lt|147.0|||||Almacén > Aceites y Vinagres > Vinagres|657924-512-512|vinagre-menoyo-de-vino/p
""|CASALTA|Vinagre De Vino Casalta 1lt|140.0|||||Almacén > Aceites y Vinagres > Vinagres|567518-512-512|vinagre-de-vino-clasico-casalta-x-1-lt/p
""|CASALTA|Vinagre De Manzana Casalta 500ml|115.0|||||Almacén > Aceites y Vinagres > Vinagres|567516-512-512|vinagre-de-manzana-casalta-500-cc/p
""|JUMBO MP|Vinagre De Manzana Jumbo 1lt|157.0|||||Almacén > Aceites y Vinagres > Vinagres|206949-512-512|vinagre-de-manzana-jumbo/p
""|JUMBO MP|Vinagre De Vino Jumbo 1lt|134.0|||||Almacén > Aceites y Vinagres > Vinagres|206948-512-512|vinagre-de-vino-jumbo-2/p
""|JUMBO MP|Vinagre De Vino Jumbo 500ml|79.0|||||Almacén > Aceites y Vinagres > Vinagres|206755-512-512|vinagre-de-vino-jumbo/p
""|DOS ANCLAS|Vinagre De Vino Dos Anclas 500ml|112.0|||||Almacén > Aceites y Vinagres > Vinagres|180943-512-512|vinagre-dos-anclas-de-vino-x-500-cc/p
""|DOS ANCLAS|Vinagre De Alcohol Dos Anclas 500ml|84.0|||||Almacén > Aceites y Vinagres > Vinagres|180936-512-512|vinagre-dos-anclas-de-alcohol-x-500-cc/p
""|PAMPA GOURMET|Vinagre De Vino Organico Pampa Gourmet 250gr|565.0|||||Almacén > Aceites y Vinagres > Vinagres|621417-512-512|vinagre-de-vino-organico-pampa-gourmet-250g/p
""|HELLMANN´S|Mayonesa Hellmanns Light Doypack 475gr|141.0|||||Almacén > Aderezos > Mayonesas|605447-512-512|mayonesa-hellmanns-light-doypack-475-gr/p
""|""|""|0|||||Almacén > Aderezos > Mayonesas||""
""|HELLMANN´S|Mayonesa Hellmanns 475gr|139.0|||||Almacén > Aderezos > Mayonesas|652738-512-512|mayonesa-hellmanns-475g/p
""|NATURA|Aderezo Mayonesa Natura 950gr|279.0|||||Almacén > Aderezos > Mayonesas|205105-512-512|mayonesa-natura-2/p
""|NATURA|Aderezo Mayonesa Natura 475gr|140.0|||||Almacén > Aderezos > Mayonesas|179489-512-512|mayonesa-natura/p
""|HEINZ|Mayonesa Heinz Light Doy-pack x 850gr|389.0|||||Almacén > Aderezos > Mayonesas|578500-512-512|mayonesa-heinz-light-doy-pack-x850gr/p
""|HEINZ|Mayonesa Heinz 850gr|365.0|||||Almacén > Aderezos > Mayonesas|554974-512-512|mayonesa-heinz-850-gr/p
""|MAYOLIVA|Aderezo Mayonesa Mayoliva 455gr|189.0|||||Almacén > Aderezos > Mayonesas|182239-512-512|mayonesa-mayoliva-x-455-gr/p
""|HELLMANN´S|Mayonesa Hellmann's Light 950gr Doypack|303.0|||||Almacén > Aderezos > Mayonesas|661689-512-512|mayonesa-hellmann-s-light-950-g-doypack/p
""|HEINZ|Mayonesa Heinz Light Doy-pack x 350gr|199.0|||||Almacén > Aderezos > Mayonesas|555032-512-512|mayonesa-heinz-light-doy-pack-x350gr/p
""|HEINZ|Mayonesa Heinz 200gr|95.0|||||Almacén > Aderezos > Mayonesas|554976-512-512|mayonesa-heinz-200-gr/p
""|HEINZ|Mayonesa Heinz 350gr|169.0|||||Almacén > Aderezos > Mayonesas|554975-512-512|mayonesa-heinz-350-gr/p
""|HELLMANN´S|Mayonesa Hellmann's Clásica Doypack 950gr|217.65|||||Almacén > Aderezos > Mayonesas|605659-512-512|mayonesa-hellmann-s-clasica-doypack-950-g/p
""|MAYOLIVA|Aderezo Mayonesa Mayoliva 227gr|95.0|||||Almacén > Aderezos > Mayonesas|181736-512-512|mayonesa-mayoliva-x-227-gr/p
""|HELLMANN´S|Mayonesa Hellmann's Light 237gr Doypack|76.0|||||Almacén > Aderezos > Mayonesas|661690-512-512|mayonesa-hellmann-s-light-237-g-doypack/p
""|KANSAS|Mayonesa Kansas 400gr|319.0|||||Almacén > Aderezos > Mayonesas|619305-512-512|mayonesa-kansas-400-gr/p
""|HEINZ|Mayonesa Heinz Light Doy-pack x 200gr|115.0|||||Almacén > Aderezos > Mayonesas|555033-512-512|mayonesa-heinz-light-doy-pack-x200gr/p
""|CADA DIA|Mayonesa Cada Dia Light 500gr|105.0|||||Almacén > Aderezos > Mayonesas|499732-512-512|mayonesa-cada-dia-light-500-gr/p
""|NATURA|Aderezo Mayonesa Natura 237gr|78.0|||||Almacén > Aderezos > Mayonesas|184942-512-512|mayonesa-natura-x-237-gr/p
""|HELLMANN´S|Mayonesa Hellmanns 237gr|84.0|||||Almacén > Aderezos > Mayonesas|652740-512-512|mayonesa-hellmanns-237g/p
""|THE NOT CO|Aderezo Notmayo Oliva Notco 325gr|327.0|||||Almacén > Aderezos > Mayonesas|643131-512-512|aderezo-notmayo-oliva-notco-325-gr/p
""|THE NOT CO|Aderezo Notmayo Ajo Notco 325gr|327.0|||||Almacén > Aderezos > Mayonesas|643130-512-512|aderezo-notmayo-ajo-notco-325-gr/p
""|THE NOT CO|Aderezo Notmayo Original Notco 200gr|128.0|||||Almacén > Aderezos > Mayonesas|667693-512-512|aderezo-notmayo-original-notco-200-gr/p
""|MOLTO|Mayonesa Molto|52.0|||||Almacén > Aderezos > Mayonesas|650705-512-512|mayonesa-molto/p
""|THE NOT CO|Aderezo Vegetal Not Mayo 350gr|215.0|||||Almacén > Aderezos > Mayonesas|657491-512-512|aderezo-vegetal-not-mayo-350g/p
