departamento|categoria|subcategoria|url
Perfumería|Cuidado Capilar|Acondicionador|https://www.jumbo.com.ar/perfumeria/cuidado-capilar/acondicionador
Perfumería|Cuidado Capilar|Fijación|https://www.jumbo.com.ar/perfumeria/cuidado-capilar/fijacion
Perfumería|Cuidado Capilar|Pediculosis|https://www.jumbo.com.ar/perfumeria/cuidado-capilar/pediculosis
Perfumería|Cuidado Capilar|Reparación y Tratamientos|https://www.jumbo.com.ar/perfumeria/cuidado-capilar/reparacion-y-tratamientos
Perfumería|Cuidado Capilar|Shampoo|https://www.jumbo.com.ar/perfumeria/cuidado-capilar/shampoo
Perfumería|Cuidado Capilar|Cepillos para Pelo|https://www.jumbo.com.ar/perfumeria/cuidado-capilar/cepillos-para-pelo
Perfumería|Cuidado Personal|Cepillos y Esponjas|https://www.jumbo.com.ar/perfumeria/cuidado-personal/cepillos-y-esponjas
Perfumería|Cuidado Personal|Depilación|https://www.jumbo.com.ar/perfumeria/cuidado-personal/depilacion
Perfumería|Cuidado Personal|Desodorantes de Hombres|https://www.jumbo.com.ar/perfumeria/cuidado-personal/desodorantes-de-hombres
Perfumería|Cuidado Personal|Desodorantes de Mujer|https://www.jumbo.com.ar/perfumeria/cuidado-personal/desodorantes-de-mujer
Perfumería|Cuidado Personal|Desodorantes y Polvos Pédicos|https://www.jumbo.com.ar/perfumeria/cuidado-personal/desodorantes-y-polvos-pedicos
Perfumería|Cuidado Personal|Geles de Ducha|https://www.jumbo.com.ar/perfumeria/cuidado-personal/geles-de-ducha
Perfumería|Cuidado Personal|Jabones|https://www.jumbo.com.ar/perfumeria/cuidado-personal/jabones
Perfumería|Cuidado Personal|Protección Adultos|https://www.jumbo.com.ar/perfumeria/cuidado-personal/proteccion-adultos
Perfumería|Cuidado Personal|Protección Femenina|https://www.jumbo.com.ar/perfumeria/cuidado-personal/proteccion-femenina
Perfumería|Cuidado Personal|Productos Para Afeitarse|https://www.jumbo.com.ar/perfumeria/cuidado-personal/productos-para-afeitarse
