id|nombre|precio|rubro|url_imagen|url_producto
00119|Pañuelo Patricia Allen Box. 75un|0|Perfumeria > Higiene Personal > Pañuelos|8721ae71a8b276de5ff5b8923d829701/2/3/23639.jpg|http://maxiconsumo.com/sucursal_capital/perfumeria/higiene-personal/pa-uelos/panuelo-pat-allen-box-75-un-23639.html
00120|Jamon Crudo Coliseo 1kg|0|Fiambreria > Fiambres > Jamones Crudos|8721ae71a8b276de5ff5b8923d829701/2/2/22510.jpg|http://maxiconsumo.com/sucursal_capital/fiambreria/fiambres/jamones-crudos/j-crudo-coliseo-1-kg-22510.html
00121|Jamon Crudo El Artesanano 1kg|0|Fiambreria > Fiambres > Jamones Crudos|8721ae71a8b276de5ff5b8923d829701/1/3/13430.jpg|http://maxiconsumo.com/sucursal_capital/fiambreria/fiambres/jamones-crudos/j-crudo-e-artesan-1-kg-13430.html
00122|Jamon Cocido Campo Austral Cuadrado 1kg|0|Fiambreria > Fiambres > Jamones Cocidos|8721ae71a8b276de5ff5b8923d829701/2/3/23233.jpg|http://maxiconsumo.com/sucursal_capital/fiambreria/fiambres/jamones-cocidos/j-coc-camp-austr-cuadrado-1-kg-23233.html
00123|Jamon Cocido Don Antonino Genuino 1kg|0|Fiambreria > Fiambres > Jamones Cocidos|8721ae71a8b276de5ff5b8923d829701/1/9/19356.jpg|http://maxiconsumo.com/sucursal_capital/fiambreria/fiambres/jamones-cocidos/j-coc-d-antonino-genuino-1-kg-19356.html
00124|Jamon Cocido Paladini Clasico 6kg|0|Fiambreria > Fiambres > Jamones Cocidos|8721ae71a8b276de5ff5b8923d829701/1/0/10103.jpg|http://maxiconsumo.com/sucursal_capital/fiambreria/fiambres/jamones-cocidos/j-coc-paladini-clasico-6-kg-10103.html
00125|Jamon Cocido 214 Delicato 1kg|0|Fiambreria > Fiambres > Jamones Cocidos|8721ae71a8b276de5ff5b8923d829701/9/7/9755.jpg|http://maxiconsumo.com/sucursal_capital/fiambreria/fiambres/jamones-cocidos/j-coc-214-delicato-1-kg-9755.html
00126|Antitranspirante Femenino Rexona Barra Antibacterial x 50gr|139.9|Perfumeria > Desodorantes Personales > Des-Antitr. Barra-Crema|8721ae71a8b276de5ff5b8923d829701/2/3/23400.jpg|http://maxiconsumo.com/sucursal_capital/perfumeria/desodorantes-personales/des-antitr-barra-crema/ant-fem-rexona-bar-antibac-50-gr-23400.html
00127|Antitranspirante Masculino Rexona Barra Antibacterial 50gr|0|Perfumeria > Desodorantes Personales > Des-Antitr. Barra-Crema|8721ae71a8b276de5ff5b8923d829701/1/3/13927.jpg|http://maxiconsumo.com/sucursal_capital/perfumeria/desodorantes-personales/des-antitr-barra-crema/ant-mas-rexona-bar-antibac-50-gr-13927.html
00128|Crema Dental Aquafresh Triple Protection 63gr|73.97|Perfumeria > Cuidado Bucal > Cremas Dentales|8721ae71a8b276de5ff5b8923d829701/2/3/23915.jpg|http://maxiconsumo.com/sucursal_capital/perfumeria/cuidado-bucal/cremas-dentales/cr-dent-aquafresh-trip-protec-63-gr-23915.html
00129|Repuesto Mach 3 4un|459.42|Perfumeria > Productos Para Afeitarse > Hojas Y Maquinas|8721ae71a8b276de5ff5b8923d829701/1/8/18722.jpg|5067/s/repuesto-mach-3-4-un-18722/category/41/
00130|Maquina Prestobar 3 Filos Mujer 2un|144.55|Perfumeria > Productos Para Afeitarse > Hojas Y Maquinas|8721ae71a8b276de5ff5b8923d829701/1/6/16694.jpg|5913/s/maquina-prestobar-3-filos-mujer-2-un-16694/category/41/
