COD.PROD;PRODUCTO;TOTAL;;0
7519;JUGO BAGGIO DURAZNO T.B-          X200CC;2502;0,0017796439080488;0,615077511636449
31830;CREMA DENTAL COLGATE -143-         X70GR;2498;0,00177679875391923;0,616854310390368
23114;VINAGRE FRAU ALCOHOL PVC          X950CC;2478;0,00176257298327135;0,618616883373639
9235;FIDEO LA PROVIDENCIA TIRABUZON -  X500GR;2458;0,00174834721262348;0,620365230586263
41096;SHAMPOO SEDAL SACHET PROMO -       X10ML;2448;0,00174123432729955;0,622106464913562
36015;QUESO RALLADO LA BABILONIA -       X40GR;2420;0,00172131824839253;0,623827783161955
20480;JABON POLVO ALA MATIC MULTIAC.    X400GR;2411;0,00171491665160098;0,625542699813556
92028;HAMBURGUESA PATY FINAS -2014-       X2UN;2381;0,00169357799562917;0,627236277809185
4043;YERBA BROCHE DE ORO               X500GR;2343;0,00166654903139822;0,628902826840583
91048;QUESO CREMOSO LA UNION               XKG;2334;0,0016601260959507;0,630562952936534
41561;ACOND.SEDAL PROMO -               X10ML;2304;0,00163880877863487;0,632201761715169
24014;HARINA FAVORITA 0000-11812-         X1KG;2289;0,00162813945064896;0,633829901165818
90155;YOGUR RAMOLAC ENT.PO.VAINILLA-    X140GR;2277;0,00161960398826024;0,635449505154078
77649;JUGO ENERGIZANTE SPEED-UNLIMITED  X250CC;2256;0,00160466692907997;0,637054172083158
50007;INSECTICIDA RAID MMM -293-        X420CC;2238;0,00159186373549689;0,638646035818655
20481;JABON POLVO ALA MATIC SOL MULTIAC.X400GR;2233;0,00158830729283492;0,64023434311149
10122;DURAZNO MORA MITADES              X820GR;2193;0,00155985575153918;0,641794198863029
92316;SALCHICHA VIENA PANCHIN             X6UN;2179;0,00154989771208567;0,643344096575115
17509;PAÐAL BABYSEC CLASICO TANGA XGDE -  X8UN;2173;0,0015456299808913;0,644889726556006
17506;PAÐAL BABYSEC CLASICO TANGA GDE -   X9UN;2160;0,00153638322997019;0,646426109785976
29138;SOPA KNORR CASERA VER.C/ARROZ-5025- X1UN;2155;0,00153282678730822;0,647958936573284
78026;JUGO INCA BC FRUTOS ROJOS SOBRE-   X30GR;2142;0,0015235800363871;0,649482516609671
6372;CABALLA ACEITE PENNISI            X380GR;2139;0,00152144617078992;0,651003962780461
90457;YOGUR RAMOLAC C/CER.ENTERO        X140GR;2131;0,00151575586253077;0,652519718642992
20281;JABON POLVO ACE NAT.C/SUAV.REG.-  X400GR;2126;0,00151219941986881;0,654031918062861
11440;TOMATE TRITURADO LA RIOJANITA D.P X500GR;2118;0,00150650911160966;0,655538427174471
1698;GALLETA MAURI FAUNA       -DS621- X150GR;2115;0,00150437524601248;0,657042802420483
17689;ROLLO COCINA SUSSEX EXTRA 50 PAÐOS  X3UN;2066;0,00146952210792519;0,658512324528408
4142;YERBA CACHAMATE COMPUESTA-269-   X500GR;2064;0,0014680995308604;0,659980424059269
7486;JUGO INCA BC NAR/DURAZNO SOBRE-    X30GR;2050;0,00145814149140689;0,661438565550675
90375;YOGUR RAMOLAC C/CER.FRUTILLA ENT. X140GR;2046;0,00145529633727732;0,662893861887953
90001;MANTECA RAMOLAC PAN ALUM.         X100GR;2045;0,00145458504874492;0,664348446936698
29177;CALDO WILDE GALLINA      -8205-    X12UN;2032;0,00144533829782381;0,665793785234522
5009;CACAO ZUCOA VITAMINAS -93215-     X180GR;2023;0,00143893670103226;0,667232721935554
20831;JABON POLVO ACE TRAD.REG.         X400GR;2008;0,00142826737304636;0,6686609893086
20170;JABON POLVO DRIVE REG.FRESC.MAR   X400GR;2005;0,00142613350744918;0,670087122816049
78100;JUGO BAGGIO JUNIOR MULTIFRUTA-    X125CC;1963;0,00139625938908865;0,671483382205138
17222;ALGODON ESTRELLA PREMIUM -10178-   X75GR;1957;0,00139199165789429;0,672875373863032
7782;JUGO BAGGIO MULTIFRUTA T.B.-12611-X200CC;1945;0,00138345619550556;0,674258830058538
9761;FIDEO LUCCHETTI SPAGHETTI-30896-  X500GR;1924;0,0013685191363253;0,675627349194863
13621;SUAVIZANTE BORITA DOY PACK -1007- X900CC;1922;0,00136709655926051;0,676994445754124
29217;CALDO WILDE GALLINA      -8208-     X2UN;1920;0,00136567398219572;0,678360119736319
7823;GASEOSA PEPSI COLA -61-             X2LT;1916;0,00136282882806615;0,679722948564385
9309;ARROZ PELEADOR BLUE BONET-        X500GR;1913;0,00136069496246897;0,681083643526854
11045;ARVEJA VALLE DE ORO(INCA)         X350GR;1888;0,00134291274915913;0,682426556276013
7699;JUGO INCA LIGHT MULTIFR.SOB-100910-X10GR;1882;0,00133864501796477;0,683765201293978
77041;JUGO YAP NARANJA SOBRE -           X35GR;1874;0,00133295470970562;0,685098156003684
41037;SHAMPOO SEDAL REC.ESTR.-932111-    X10ML;1848;0,00131446120786338;0,686412617211547
11140;PURE TOMATE CANALE T/BRIK -       X260GR;1813;0,00128956610922961;0,687702183320777
7540;JUGO INCA BC MANDARINA SOBRE-      X30GR;1774;0,00126182585646626;0,688964009177243
90546;YOGUR MANFREY-60305-BEB.FRUTILLA    X1KG;1772;0,00126040327940147;0,690224412456645
29104;SOPA KNORR CREMA POLLO-236445-       XUN;1746;0,00124190977755924;0,691466322234204
29091;SOPA KNORR CASERA VEG.C/LETRA-97536- XUN;1745;0,00124119848902684;0,692707520723231
20110;JABON PAN GIGANTE SUAVE TERNURA-  X200GR;1744;0,00124048720049445;0,693948007923725
1192;GALLETA BAGLEY SURTIDO -6803-     X400GR;1742;0,00123906462342966;0,695187072547155
4045;YERBA BROCHE DE ORO               X250GR;1741;0,00123835333489727;0,696425425882052
3390;PAN RALLADO PREFERIDO-2835-       X500GR;1737;0,00123550818076769;0,69766093406282
7332;JUGO INCA LIGHT ANANA SOBRE-100902-X10GR;1730;0,00123052916104094;0,698891463223861
20089;JABON PAN ARGENTINO BLANCO  -311- X200GR;1708;0,00121488081332828;0,700106344037189
25020;KETCHUP HELLMANNS -192305-SACHET   X60GR;1687;0,00119994375414801;0,701306287791337
9222;ARROZ 53 BLUE BONET -73257-         X1KG;1681;0,00119567602295365;0,702501963814291
4171;YERBA TARAGUI SAQUITO    -100072-  X25UN;1677;0,00119283086882408;0,703694794683115
1085;GALLETA BAGLEY SALVADO -9995-     X642GR;1676;0,00119211958029168;0,704886914263406
91150;QUESO CREMOSO WINDY  -            XKG;1660;0,00118100214053037;0,706067916403937
7525;JUGO INCA BC SOBRE -PROMO-         X30GR;1650;0,00117362607844945;0,707241542482386
7374;JUGO BAGGIO DURAZNO T.BRIK -        X1LT;1648;0,00117220350138466;0,708413745983771
24002;HARINA FAVORITA 000-12415-          X1KG;1643;0,00116864705872269;0,709582393042493
