categoria|rubro|id|producto|titulo|detalle|sku|imagen|regla_1|precio_1|regla_2|precio_2|regla_3|precio_3
Fiambreria| Salame|114|http://tatito.com.ar/producto/salame-bierzo/|Salame Bierzo Feteado 100 grs.|Ejemplo:/Cantidad “5” corresponde a 500 grs. del Producto.-|220|http://tatito.com.ar/wp-content/uploads/2020/01/SALAME-BIERZO.jpg|1|0.0|$|5.0||
Fiambreria| Salame|114|http://tatito.com.ar/producto/salame-fela/|Salame Fela Feteado x 100 grs.|Ejemplo:/Cantidad “5” corresponde a 500 grs. del Producto.-|71|http://tatito.com.ar/wp-content/uploads/2020/01/SALAME-FELA.jpg|1|0.0|$|4.0||
Fiambreria| Salame|114|http://tatito.com.ar/producto/salame-don-otto/|Salame Don Otto Feteado x 100 grs.|Ejemplo:/Cantidad “5” corresponde a 500 grs. del Producto.-|237|http://tatito.com.ar/wp-content/uploads/2020/01/SALAME-DON-OTTO.jpg|1|0.0|$|3.0||
Fiambreria| Salame|114|http://tatito.com.ar/producto/salame-66/|Salame 66 x 100 grs.|Hace tu pedido y nos comunicamos con vos para coordinar las formas de pago, el envio y si lo queres feteado./El corte por Kg puedo varias entre 100 gr y 200 gr|69|http://tatito.com.ar/wp-content/uploads/2020/01/SALAME-66.jpg|1 - 2|45.0|3+|329.98||
Fiambreria| Sardo|180|http://tatito.com.ar/producto/sardo-rivadavia/|Sardo Rivadavia x 100 grs.|El peso del corte puede variar al solicitado. La variación puede ser aproximadamente de 200 gramos.|184|http://tatito.com.ar/wp-content/uploads/2020/01/default.jpg|1 - 2|44.0|3+|37.51||
Fiambreria| Tybo|113|http://tatito.com.ar/producto/tybo-oferta-feteado/|Queso Tybo Debaldo Feteado x 100 grs.|Ejemplo:/Cantidad “5” corresponde a 500 grs. del Producto.-|28|http://tatito.com.ar/wp-content/uploads/2019/11/TYBO-DEBALDO-600x600.png|1|0.0|$|4.0||
Fiambreria| Tybo|113|http://tatito.com.ar/producto/tybo-santa-maria-1-5/|Queso Tybo Santa Maria Feteado x 100 grs.|Ejemplo:/Cantidad “5” corresponde a 500 grs. del Producto.-|119|http://tatito.com.ar/wp-content/uploads/2020/01/TYBO-SANTA-MARIA-1.5.jpg|1|0.0|$|4.0||
Fiambreria| Tybo|113|http://tatito.com.ar/producto/tybo-nulac/|Queso Tybo Nulac Feteado x 100 grs.|Ejemplo:/Cantidad “5” corresponde a 500 grs. del Producto.-|26|http://tatito.com.ar/wp-content/uploads/2020/01/TYBO-NULAC.jpg|1|0.0|$|3.0||
Fiambreria| Bondiola|203|http://tatito.com.ar/producto/bondiola-goggi/|Bondiola Goggi Feteada x 100 grs.|Ejemplo:/Cantidad “5” corresponde a 500 grs. del Producto.-|145|http://tatito.com.ar/wp-content/uploads/2020/01/BONDIOLA-GOGGI.jpg|1|0.0|$|9.0||
Fiambreria| Bondiola|203|http://tatito.com.ar/producto/bondiola-lario/|Bondiola Lario Feteada x 100 grs.|Ejemplo:/Cantidad “5” corresponde a 500 grs. del Producto.-/ |6|http://tatito.com.ar/wp-content/uploads/2020/01/BONDIOLA-LARIO.jpg|1|0.0|$|1.0||
Fiambreria| Cremosos|112|http://tatito.com.ar/producto/queso-cremoso-debaldo-x-100-grs/|Queso Cremoso Debaldo x 100 grs.|Cantidad “1” corresponde a 100 grs. del Producto.-/A partir de 20 uds. (2000 grs.= 2 kg.) se obtiene precio por mayor.-|25|http://tatito.com.ar/wp-content/uploads/2020/08/cremoso-debaldo.jpg|1 - 19|30.0|20+|24.9||
Fiambreria| Cremosos|112|http://tatito.com.ar/producto/cremon-ls/|Queso Cremoso Cremon La Serenísima x 100 grs.|Cantidad “1” corresponde a 100 grs. del Producto.-/A partir de 20 uds. (2000 grs.= 2 kg.) se obtiene precio por mayor.-|45|http://tatito.com.ar/wp-content/uploads/2020/01/CREMON-LS.jpg|1 - 19|51.0|20+|45.99||
Fiambreria| Cremosos|112|http://tatito.com.ar/producto/cremoso-noal/|Queso Cremoso Noal x 100 grs.|Cantidad “1” corresponde a 100 grs. del Producto.-/A partir de 20 uds. (2000 grs.= 2 kg.) se obtiene precio por mayor.-|206|http://tatito.com.ar/wp-content/uploads/2020/01/CREMOSO-NOAL.jpg|1 - 19|35.0|20+|29.9||
Fiambreria| Cremosos|112|http://tatito.com.ar/producto/cremoso-santa-maria/|Queso Cremoso Santa Maria x 100 grs.|Cantidad “1” corresponde a 100 grs. del Producto.-/A partir de 20 uds. (2000 grs.= 2 kg.) se obtiene precio por mayor.-|118|http://tatito.com.ar/wp-content/uploads/2020/01/CREMOSO-SANTA-MARIA.jpg|1 - 19|37.0|20+|29.4||
Fiambreria| Cremosos|112|http://tatito.com.ar/producto/cremoso-elogio/|Queso Cremoso Elogio x 100 grs.|Cantidad “1” corresponde a 100 grs. del Producto.-/A partir de 20 uds. (2000 grs.= 2 kg.) se obtiene precio por mayor.-|13|http://tatito.com.ar/wp-content/uploads/2020/01/CREMOSO-ELOGIO.jpg|1 - 19|35.0|20+|30.7||
Fiambreria| Cremosos|112|http://tatito.com.ar/producto/cremoso-il-queso/|Queso Cremoso IL Queso x 100 grs.|Cantidad “1” corresponde a 100 grs. del Producto.-/A partir de 20 uds. (2000 grs.= 2 kg.) se obtiene precio por mayor.-|998|http://tatito.com.ar/wp-content/uploads/2019/11/queso-cremoso-il-queso-1.jpg|1|0.0|$|3.0||
Fiambreria| Dambo|200|http://tatito.com.ar/producto/dambo-noal/|Queso Danbo Noal (Tybo) Feteado x 100 grs.|Ejemplo:/Cantidad “5” corresponde a 500 grs. del Producto.-|196|http://tatito.com.ar/wp-content/uploads/2020/01/DAMBO-NOAL.jpg|1|0.0|$|4.0||
Fiambreria| Fiambre cocido|150|http://tatito.com.ar/producto/fiambre-coc-goggi-et-negra/|Fiambre Cocido Goggi Etiqueta Negra x 100 grs.|Ejemplo:/Cantidad “5” corresponde a 500 grs. del Producto.-|965|http://tatito.com.ar/wp-content/uploads/2019/11/fiambre-cocido-goggi-et-negra.jpg|1|0.0|$|1.0||
Fiambreria| Fiambre cocido|150|http://tatito.com.ar/producto/fiambre-coc-goggi-et-azul/|Fiambre Cocido Goggi Etiqueta Azul x 100 grs.|Ejemplo:/Cantidad “5” corresponde a 500 grs. del Producto.-|34|http://tatito.com.ar/wp-content/uploads/2019/11/fiambre-cocido-goggi-et-azul.jpg|1|0.0|$|1.0||
Frescos y Congelados| Hamburguesas|138|http://tatito.com.ar/producto/hamb-iacono-2-x-69gr/|HAMBURGUESAS IACONO 2 X 69GR|""|102682|http://tatito.com.ar/wp-content/uploads/2020/01/HAMB-IACONO-2-X-69GR.jpg|1 - 2|33.5|3+|29.16||
Frescos y Congelados| Hamburguesas|138|http://tatito.com.ar/producto/hamb-swift-xl-x250g/|Hamburguesa Swift XL X 250G|""|104109|http://tatito.com.ar/wp-content/uploads/2020/01/HAMB-SWIFT-XL-X250G.jpg|1 - 2|144.0|3+|133.33||
Frescos y Congelados| Hamburguesas|138|http://tatito.com.ar/producto/hamb-paladini-2un/|HAMBURGUESA PALADINI 2UN|""|6473|http://tatito.com.ar/wp-content/uploads/2020/01/HAMB-PALADINI-2UN.jpg|1 - 2|103.75|3+|88.37||
Frescos y Congelados| Hamburguesas|138|http://tatito.com.ar/producto/hamb-swift-x-2un/|Hamburguesa Swift Doble (2 uds.)|""|5172|http://tatito.com.ar/wp-content/uploads/2020/01/HAMB-SWIFT-X-2UN.jpg|1 - 2|53.49|3+|44.13||
Frescos y Congelados| Levaduras|216|http://tatito.com.ar/producto/levadura-golondrina-x-500-grs/|Levadura Golondrina x 500 grs.|""|110611|http://tatito.com.ar/wp-content/uploads/2020/05/levadura-golondrina-500-grs..jpg|1 - 2|105.0|3+|97.35||
Frescos y Congelados| Levaduras|216|http://tatito.com.ar/producto/levadura-duquesa-500gr/|LEVADURA DUQUESA 500GR|""|95|http://tatito.com.ar/wp-content/uploads/2019/11/levadura-duquesa.jpg|1 - 2|118.0|3+|107.0||
Frescos y Congelados| Masa para Tacos|166|http://tatito.com.ar/producto/hummus-kamar-sesamo-y-ajo-x-250-grs/|Hummus Kamar Sesamo y Ajo x 250 grs.|""|""|http://tatito.com.ar/wp-content/uploads/2020/07/hummus-kamar-sesamoyajo-250grs.jpg|1 - 2|120.19|3+|105.6||
Frescos y Congelados| Masa para Tacos|166|http://tatito.com.ar/producto/hummus-kamar-morron-x-250-grs/|Hummus Kamar Morron x 250 grs.|""|""|http://tatito.com.ar/wp-content/uploads/2020/07/hummus-kamar-morron-250grs.jpg|1 - 2|120.19|3+|105.6||
Frescos y Congelados| Masa para Tacos|166|http://tatito.com.ar/producto/hummus-kamar-olivas-negras-x-250-grs/|Hummus Kamar Olivas Negras x 250 grs.|""|""|http://tatito.com.ar/wp-content/uploads/2020/07/hummus-kamar-olivasnegras-250grs.jpg|1 - 2|120.19|3+|105.6||
Frescos y Congelados| Masa para Tacos|166|http://tatito.com.ar/producto/tacos-pandino/|Masa para Tacos Pandino|""|103492|http://tatito.com.ar/wp-content/uploads/2020/01/TACOS-PANDINO.jpg|1 - 2|60.0|3+|55.0||
Frescos y Congelados| Pascualinas|183|http://tatito.com.ar/producto/pascualina-madomi/|PASCUALINA MADOMI|""|1034461|http://tatito.com.ar/wp-content/uploads/2020/01/PASCUALINA-MADOMI-LIGHT.jpg|1 - 2|58.0|3+|48.49||
Frescos y Congelados| Pascualinas|183|http://tatito.com.ar/producto/pascualina-la-tuc-2un/|PASCUALINA LA TUCUMANITA  2UN|""|2100|http://tatito.com.ar/wp-content/uploads/2020/01/PASCUALINA-LA-TUC.-2UN.jpg|1 - 2|58.99|3+|51.0||
Frescos y Congelados| Ravioles|167|http://tatito.com.ar/producto/ravioles-madomi-x500gr/|Ravioles Madomi X 500 Grs.|""|103026|http://tatito.com.ar/wp-content/uploads/2020/01/RAVIOLES-MADOMI-X500GR.jpg|1 - 2|57.0|3+|48.49||
Frescos y Congelados| Ravioles|167|http://tatito.com.ar/producto/ravioles-la-tuc-500gr/|RAVIOLES LA TUCUMANITA 500GR|""|2103|http://tatito.com.ar/wp-content/uploads/2020/01/RAVIOLES-LA-TUC.500GR.jpg|1 - 2|56.99|3+|49.0||
Frescos y Congelados| Salchichas|136|http://tatito.com.ar/producto/salchicha-don-otto-6-uds/|Salchicha Don Otto 6 uds.|""|1895|http://tatito.com.ar/wp-content/uploads/2020/05/salchichas-don-otto.jpg|1 - 2|35.0|3+|29.9||
Frescos y Congelados| Salchichas|136|http://tatito.com.ar/producto/salchicha-soychu-6-un/|SALCHICHA SOYCHU 6 UN.|""|103285|http://tatito.com.ar/wp-content/uploads/2020/01/SALCHICHA-SOYCHU-6-UN..jpg|1 - 2|30.0|3+|26.72||
Frescos y Congelados| Salchichas|136|http://tatito.com.ar/producto/salchicha-paladini-6un/|SALCHICHA PALADINI 6UN|""|5016|http://tatito.com.ar/wp-content/uploads/2020/01/SALCHICHA-PALADINI-6UN.jpg|1 - 2|88.0|3+|75.28||
Frescos y Congelados| Salchichas|136|http://tatito.com.ar/producto/salchicha-66-6un/|SALCHICHA 66 6UN|""|5017|http://tatito.com.ar/wp-content/uploads/2020/01/SALCHICHA-66-6UN.jpg|1 - 2|35.9|3+|29.75||
Frescos y Congelados| Sorrentinos|174|http://tatito.com.ar/producto/sorrentinos-madomi-x-500g/|Sorrentinos Madomi X 500 Grs.|""|103037|http://tatito.com.ar/wp-content/uploads/2020/01/SORRENTINOS-MADOMI-X-500G.jpg|1 - 2|77.0|3+|65.0||
Frescos y Congelados| Tapas|160|http://tatito.com.ar/producto/hummus-kamar-sesamo-y-ajo-x-250-grs/|Hummus Kamar Sesamo y Ajo x 250 grs.|""|""|http://tatito.com.ar/wp-content/uploads/2020/07/hummus-kamar-sesamoyajo-250grs.jpg|1 - 2|120.19|3+|105.6||
Frescos y Congelados| Tapas|160|http://tatito.com.ar/producto/hummus-kamar-morron-x-250-grs/|Hummus Kamar Morron x 250 grs.|""|""|http://tatito.com.ar/wp-content/uploads/2020/07/hummus-kamar-morron-250grs.jpg|1 - 2|120.19|3+|105.6||
Frescos y Congelados| Tapas|160|http://tatito.com.ar/producto/hummus-kamar-olivas-negras-x-250-grs/|Hummus Kamar Olivas Negras x 250 grs.|""|""|http://tatito.com.ar/wp-content/uploads/2020/07/hummus-kamar-olivasnegras-250grs.jpg|1 - 2|120.19|3+|105.6||
Frescos y Congelados| Tapas|160|http://tatito.com.ar/producto/tapa-p-emp-la-tuc-12un/|TAPA PARA EMPANADAS LA TUCUMANITA X12 UN.|""|6333|http://tatito.com.ar/wp-content/uploads/2020/01/TAPA-PARA-EMPANADA-LA-TUC.12UN.jpg|1 - 2|41.99|3+|36.61||
Frescos y Congelados| Tapas|160|http://tatito.com.ar/producto/tapa-madomi-p-emp/|TAPA PARA EMPANADAS MADOMI X12 UN.|""|6313|http://tatito.com.ar/wp-content/uploads/2020/01/TAPA-MADOMI-P-EMP.jpg|1 - 2|42.0|3+|35.88||
Frescos y Congelados| Untables|170|http://tatito.com.ar/producto/hummus-kamar-sesamo-y-ajo-x-250-grs/|Hummus Kamar Sesamo y Ajo x 250 grs.|""|""|http://tatito.com.ar/wp-content/uploads/2020/07/hummus-kamar-sesamoyajo-250grs.jpg|1 - 2|120.19|3+|105.6||
Frescos y Congelados| Untables|170|http://tatito.com.ar/producto/hummus-kamar-morron-x-250-grs/|Hummus Kamar Morron x 250 grs.|""|""|http://tatito.com.ar/wp-content/uploads/2020/07/hummus-kamar-morron-250grs.jpg|1 - 2|120.19|3+|105.6||
Frescos y Congelados| Untables|170|http://tatito.com.ar/producto/hummus-kamar-olivas-negras-x-250-grs/|Hummus Kamar Olivas Negras x 250 grs.|""|""|http://tatito.com.ar/wp-content/uploads/2020/07/hummus-kamar-olivasnegras-250grs.jpg|1 - 2|120.19|3+|105.6||
Frescos y Congelados| Untables|170|http://tatito.com.ar/producto/queso-crema-light-la-paulina-x-290-grs/|Queso Crema Light La Paulina X 290 grs.|""|1040991|http://tatito.com.ar/wp-content/uploads/2020/05/queso-crema-light-la-paulina-290.jpg|1 - 2|105.1|3+|96.09||
Frescos y Congelados| Untables|170|http://tatito.com.ar/producto/queso-finlandia-light-x-200g/|QUESO FINLANDIA LIGHT X 200G|""|1000801|http://tatito.com.ar/wp-content/uploads/2020/04/QUESO-FINLANDIA-LIGHT.jpg|1 - 2|105.0|3+|92.7||
Frescos y Congelados| Untables|170|http://tatito.com.ar/producto/queso-unt-ls-todos-x-200g/|QUESO FINLANDIA CLASICO X 200G|""|100080|http://tatito.com.ar/wp-content/uploads/2019/11/QUESO-FINLANDIA-CLASICO.jpg|1 - 2|105.0|3+|92.7||
Frescos y Congelados| Untables|170|http://tatito.com.ar/producto/casancrem-ls-300gr-ent/|CASANCREM ENTERO 290GR|""|3388|http://tatito.com.ar/wp-content/uploads/2020/01/CASANCREM-LS-300GR-ENT.jpg|1 - 2|180.0|3+|160.22||
Frescos y Congelados| Untables|170|http://tatito.com.ar/producto/casancrem-ls-300gr-desc/|CASANCREM DESCREMADO 290GR|""|3389|http://tatito.com.ar/wp-content/uploads/2020/01/CASANCREM-LS-300GR-DESC.jpg|1 - 2|180.0|3+|160.22||
Frescos y Congelados| Untables|170|http://tatito.com.ar/producto/queso-unt-la-paulina-x-200gr/|QUESO UNTABLE LA PAULINA X 200GR VS SABORES|""|5006|http://tatito.com.ar/wp-content/uploads/2019/11/QUESO-UNT-LA-PAULINA.jpg|1 - 2|94.29|3+|86.21||
Frescos y Congelados| Untables|170|http://tatito.com.ar/producto/queso-crema-la-paulina-x-290/|Queso Crema Tradicional La Paulina X 290 grs.|""|104099|http://tatito.com.ar/wp-content/uploads/2019/11/queso-crema-tradicional-la-paulina-290.jpg|1 - 2|105.1|3+|96.09||
Lacteos| Leche|81|http://tatito.com.ar/producto/leche-descremada-larga-vida-la-suipachense-x-1-lt/|Leche Descremada Larga Vida La Suipachense x 1 Lt.|""|1115141|http://tatito.com.ar/wp-content/uploads/2020/05/leche-la-suipachense-lv-descremada.jpg|1 - 2|76.5|3+|66.3||
Lacteos| Leche|81|http://tatito.com.ar/producto/leche-larga-vida-entera-la-suipachense-1-lt/|Leche Entera Larga Vida La Suipachense x 1 Lt.|""|111514|http://tatito.com.ar/wp-content/uploads/2020/05/leche-la-suipachense-entera-lv.jpg|1 - 2|76.5|3+|66.3||
Lacteos| Leche|81|http://tatito.com.ar/producto/leche-ilolay-lv-d-x-1ls-iva/|LECHE ILOLAY LARGA VIDA DESCREMADA X 1LT|""|103349|http://tatito.com.ar/wp-content/uploads/2020/01/LECHE-ILOLAY-LV-DDESCREMADA-X-1LS.jpg|1 - 2|73.9|3+|59.9||
Lacteos| Leche|81|http://tatito.com.ar/producto/leche-ilolay-lv-ent-1lt-s-iva/|LECHE ILOLAY LARGA VIDA – ENTERA 1LT|""|4850|http://tatito.com.ar/wp-content/uploads/2020/01/LECHE-ILOLAY-LV-ENTERA-X-1L.jpg|1 - 2|73.9|3+|59.9||
