categoria	rubro	id	producto	titulo	unidad	detalle	sku	imagen	regla_1	precio_1	regla_2	precio_2	regla_3	precio_3
AlmacÈn	Enlatados	103	http://tatito.com.ar/producto/durazno-en-lata-precursor-x-820-gr/	Durazno En Lata Precursor	820 gr		102098	http://tatito.com.ar/wp-content/uploads/2020/05/durazno-precursor-820grjpg	1-2	103.5	3+	89.7		
Desayuno	Edulcorantes	61	http://tatito.com.ar/producto/edulc-barny-250cc/	Edulcorante Barny 	250 cc		3462	http://tatito.com.ar/wp-content/uploads/2019/11/EDULCORANTE-BARNY-250.jpg	1-2	73	3+	62.1		
Desayuno	Edulcorantes	61	http://tatito.com.ar/producto/edulc-barny-500ml/	Edulcorante Barny 	500 ml		3461	http://tatito.com.ar/wp-content/uploads/2019/11/EDULCORANTE-BARNY-500.jpg	1-2	125	3+	105.73		
Desayuno	Edulcorantes	61	http://tatito.com.ar/producto/edulc-si-diet-200cc/	Edulcorante Si Diet 	200 cc		1281	http://tatito.com.ar/wp-content/uploads/2020/01/EDULC-SI-DIET-200CC.jpg	1-2	73	3+	55		
Bebidas	Isotonicos y energizantes	154	http://tatito.com.ar/producto/energ-speed-250cc/	Energy Speed 	250 cc		3751	http://tatito.com.ar/wp-content/uploads/2020/01/ENERG-SPEED-250CC.jpg	1-2	47	3+	40.64		
Limpieza	Varios	206	http://tatito.com.ar/producto/escobillon-fede-sin-cabo/	Escobillon Fede Sin Cabo	1 un		5213	http://tatito.com.ar/wp-content/uploads/2020/01/ESCOBILLON-FEDE-SIN-CABO.jpg	1-2	125	3+	107.9		
Limpieza	Varios	206	http://tatito.com.ar/producto/esp-make-bronce/	Esponja Make Bronce	1 un		2743	http://tatito.com.ar/wp-content/uploads/2020/01/ESP-mAKE-BRONCE.jpg	1-2	26	3+	22.43		
AlmacÈn	Salsas	95	http://tatito.com.ar/producto/extracto-tom-otito-150gr/	Extracto Tomate Otito 	150 gr		2583	http://tatito.com.ar/wp-content/uploads/2020/01/EXTRACTO-TOm-OTITO-150GR.jpg	1-2	46	3+	39.62		
Bebidas	Cervezas y Fernet	64	http://tatito.com.ar/producto/fernet-branca-750cc/	Fernet Branca 	750 cc		3578	http://tatito.com.ar/wp-content/uploads/2020/01/FERNET-BRANCA-750CC.jpg	1-2	490	3+	409.98		
Fiambreria	Fiambre cocido	150	http://tatito.com.ar/producto/fiambre-coc-goggi-et-azul/	Fiambre Cocido Goggi Etiqueta Azul 	100 gr	Ejemplo:/Cantidad '5'ù corresponde a 500 grs. del Producto.-	34	http://tatito.com.ar/wp-content/uploads/2019/11/fiambre-cocido-goggi-et-azul.jpg	1-2	0	$	1		
