"";"nombre";"marca";"precio";"pagina";"imagen";"departamento";"categoria";"subcategoria"
"48";"Aceto Balsámico San Giorgio 250 Ml";"SAN GIORGIO";459;"aceto-san-giorgio-x-250-cc/p";"192272";"Almacén";"Aceites y Vinagres";"Acetos"
"49";"Aceto Balsamico Morixe X 500ml";"MORIXE";210;"aceto-balsamico-morixe-x-500ml/p";"551439";"Almacén";"Aceites y Vinagres";"Acetos"
"50";"Glace Balsamico 250ml Colavita";"COLAVITA";490;"glace-balsamico-250ml-colavita/p";"421451";"Almacén";"Aceites y Vinagres";"Acetos"
"51";"Aceto Balsámico Doménico Rainieri 250 Ml";"DOMENICO RENIERI";235;"aceto-domenico-rainieri-x-250-cc/p";"180743";"Almacén";"Aceites y Vinagres";"Acetos"
"52";"Jugo De Limón Minerva 500 Ml";"MINERVA";120;"jugo-minerva-de-limon-ecobotella-x500/p";"468266";"Almacén";"Aceites y Vinagres";"Jugos de Limón"
"53";"Jugo De Limón Minerva 1 L";"MINERVA";213;"jugo-minerva-de-limon-2/p";"468539";"Almacén";"Aceites y Vinagres";"Jugos de Limón"
"54";"Jugo De Limón Minerva 250 Ml";"MINERVA";63,75;"jugo-minerva-de-limon/p";"468559";"Almacén";"Aceites y Vinagres";"Jugos de Limón"
"55";"Jugo De Limón Menoyo 250 Ml";"MENOYO";72;"jugo-menoyo-de-limon/p";"178851";"Almacén";"Aceites y Vinagres";"Jugos de Limón"
"56";"Jugo De Limón Dos Anclas 1 L";"DOS ANCLAS";219;"jugo-de-limon-dos-anclas-x-1000cc/p";"191113";"Almacén";"Aceites y Vinagres";"Jugos de Limón"
"57";"Vinagre De Alcohol Menoyo 500 Ml";"MENOYO";55,9;"vinagre-menoyo-de-alcohol/p";"584808";"Almacén";"Aceites y Vinagres";"Vinagres"
"58";"Vinagre Manzana Alcazar 1000 Ml";"ALCAZAR";72;"vinagre-manzana-alcazar-1000-ml/p";"578501";"Almacén";"Aceites y Vinagres";"Vinagres"
"59";"Vinagre De Vino Menoyo 500 Ml";"MENOYO";72,9;"vinagre-menoyo-de-vino-2/p";"584807";"Almacén";"Aceites y Vinagres";"Vinagres"
"60";"Vinagre De Manzana Jumbo 1 L";"JUMBO MP";139;"vinagre-de-manzana-jumbo/p";"206949";"Almacén";"Aceites y Vinagres";"Vinagres"
"61";"Vinagre De Manzana Menoyo 1 L";"MENOYO";139;"vinagre-menoyo-de-manzana-2/p";"584803";"Almacén";"Aceites y Vinagres";"Vinagres"
"62";"Vinagre De Manzana Jumbo 500 Ml";"JUMBO MP";82,9;"vinagre-de-manzana-jumbo-2/p";"558028";"Almacén";"Aceites y Vinagres";"Vinagres"
"63";"Vinagre De Vino Jumbo 1 L";"JUMBO MP";119;"vinagre-de-vino-jumbo-2/p";"206948";"Almacén";"Aceites y Vinagres";"Vinagres"
"64";"Vinagre De Manzana Dos Anclas 500 Ml";"DOS ANCLAS";64;"vinagre-dos-anclas-de-manzana-x-500-cc/p";"180940";"Almacén";"Aceites y Vinagres";"Vinagres"
"65";"Vinagre Castello De Arroz 750 Ml";"CASTELLO DE ARROZ";425;"vinagre-castello-de-arroz-x-750-ml/p";"177573";"Almacén";"Aceites y Vinagres";"Vinagres"
"66";"Vinagre De Manzana Dos Anclas 1 L";"DOS ANCLAS";101;"vinagre-dos-anclas-de-manzana-x-1-lt/p";"428067";"Almacén";"Aceites y Vinagres";"Vinagres"
"67";"Vinagre De Vino Menoyo 1 L";"MENOYO";119;"vinagre-menoyo-de-vino/p";"584806";"Almacén";"Aceites y Vinagres";"Vinagres"
"68";"Vinagre De Vino Jumbo 500 Ml";"JUMBO MP";69,9;"vinagre-de-vino-jumbo/p";"206755";"Almacén";"Aceites y Vinagres";"Vinagres"
"69";"Vinagre De Vino Dos Anclas 1 L";"DOS ANCLAS";91;"vinagre-dos-anclas-de-vino-x-1-lt/p";"428066";"Almacén";"Aceites y Vinagres";"Vinagres"
