nombre|precio|imagen|rubro|id
Galletas de Arroz All Rice Dulces x 100 grs.|58.0|http://tatito.com.ar/wp-content/uploads/2020/05/galletas-all-rice-dulce.jpg|Almacén|0059
Arroz Peleador Largo Fino x 500 grs.|36.0|http://tatito.com.ar/wp-content/uploads/2020/05/arroz-peleador-500.jpg|Almacén|0060
Leche en Polvo Descremada Lheritier 350 gr.|195.0|http://tatito.com.ar/wp-content/uploads/2020/05/leche-en-polvo-lheritier-800.jpg|Almacén|0061
Cono de Dulce de Leche Patagonia 50 grs.|55.0|http://tatito.com.ar/wp-content/uploads/2020/05/cono-dolchito-patagonia.jpg|Almacén|0062
Alfajor Dolche Patagonia MAICENA 75 grs.|55.0|http://tatito.com.ar/wp-content/uploads/2020/05/alfajor-dolche-patagonia-maicena.jpg|Almacén|0063
Alfajor Dolche Patagonia BLANCO 60 grs.|55.0|http://tatito.com.ar/wp-content/uploads/2020/05/alfajor-dolche-patagonia-blanco.jpg|Almacén|0064
Alfajor Dolche Patagonia NEGRO 60 grs.|55.0|http://tatito.com.ar/wp-content/uploads/2020/05/alfajor-dolche-patagonia-negro.jpg|Almacén|0065
Cafe La Virginia Instantaneo Latte 125 gr|95.0|http://tatito.com.ar/wp-content/uploads/2020/05/cafe-la-virginia-latte-125.jpg|Almacén|0066
Cafe La Virginia Instantaneo Cortado 125 gr|95.0|http://tatito.com.ar/wp-content/uploads/2020/05/cafe-la-virginia-cortado-125.jpg|Almacén|0067
Caballa Bahia en agua y aceite 425 gr.|174.4|http://tatito.com.ar/wp-content/uploads/2020/05/caballa-bahia-425.jpg|Almacén|0068
Atun Bahia 170 GR|79.0|http://tatito.com.ar/wp-content/uploads/2020/05/atun-bahia-170g.jpg|Almacén|0069
Sardinas en aceite Marbella 120 gr.|100.0|http://tatito.com.ar/wp-content/uploads/2020/05/sardina-marbella-120g.jpg|Almacén|0070
Arroz Peleador Largo Fino x 500 grs.|36.0|http://tatito.com.ar/wp-content/uploads/2020/05/arroz-peleador-500.jpg|- Arroz|0071
Arroz Gallo Oro 1 Kg.|127.0|http://tatito.com.ar/wp-content/uploads/2020/01/ARROZ-GALLO-ORO-B1-KG.jpg|- Arroz|0072
Arroz Noble Largo Fino 500 Grs.|43.5|http://tatito.com.ar/wp-content/uploads/2020/01/ARROZ-NOBLE-LF-500G.jpg|- Arroz|0073
Arroz Gallo Oro Amarillo 500 Grs.|69.0|http://tatito.com.ar/wp-content/uploads/2020/01/ARROZ-GALLO-ORO-AMA-500GR.jpg|- Arroz|0074
ARROZ LUCHADOR 4/0 500GR|35.0|http://tatito.com.ar/wp-content/uploads/2019/11/arroz-luchador-500.jpg|- Arroz|0075
Azucar 1 Kg.|55.0|http://tatito.com.ar/wp-content/uploads/2019/11/azucar-comun-1kg-fraccionada.jpg|- Azúcar|0076
Cafe La Virginia Instantaneo Latte 125 gr|95.0|http://tatito.com.ar/wp-content/uploads/2020/05/cafe-la-virginia-latte-125.jpg|- Café|0077
Cafe La Virginia Instantaneo Cortado 125 gr|95.0|http://tatito.com.ar/wp-content/uploads/2020/05/cafe-la-virginia-cortado-125.jpg|- Café|0078
Malta El pocillo x 170 gr.|210.0|http://tatito.com.ar/wp-content/uploads/2020/05/MALTA-EL-POCILLO-170G.jpg|- Café|0079
Malta El Pocillo x 125 gr.|125.0|http://tatito.com.ar/wp-content/uploads/2020/05/MALTA-ELPOCILLO-125-POCUH.jpg|- Café|0080
Cafe La Virginia Instantaneo Suave 100 Grs.|155.0|http://tatito.com.ar/wp-content/uploads/2020/01/CAFE-LA-VIRG-INST-100GR-SUAV.jpg|- Café|0081
Cafe La Morenita 125 Grs.|67.0|http://tatito.com.ar/wp-content/uploads/2020/01/CAFE-LA-MORENITA-125GR.jpg|- Café|0082
Cafe la Virginia Suave 170 Grs. Vidrio|235.0|http://tatito.com.ar/wp-content/uploads/2020/01/CAFE-LA-VIRG-170GR-SUAV-VIDRIO.jpg|- Café|0083
Cafe Arlistan 100 Grs.|189.4|http://tatito.com.ar/wp-content/uploads/2020/04/cafe-arlistan-100gr.jpg|- Café|0084
CAFE DOLCA CLASICO 170 GRS. VIDRIO|285.0|http://tatito.com.ar/wp-content/uploads/2020/01/CAFE-DOLCA-TORR-VID170GR.jpg|- Café|0085
CAFE DOLCA CLASICO 100GR VIDRIO|180.56|http://tatito.com.ar/wp-content/uploads/2020/01/CAFE-DOLCA-TORR-100GR.jpg|- Café|0086
Cafe Dolca Instantaneo Clasico 50 gr.|107.47|http://tatito.com.ar/wp-content/uploads/2019/11/cafe-dolca-cl-50g.jpg|- Café|0087
