"";"X";"dep";"cat";"sub";"url"
"159";159;"Electro";"Heladeras, Freezers y Cavas";"Heladeras con Freezer";"https://www.jumbo.com.ar/electro/heladeras-freezers-y-cavas/heladeras-con-freezer"
"160";160;"Electro";"Heladeras, Freezers y Cavas";"Heladeras sin Freezer";"https://www.jumbo.com.ar/electro/heladeras-freezers-y-cavas/heladeras-sin-freezer"
"161";161;"Electro";"Heladeras, Freezers y Cavas";"Frezeers";"https://www.jumbo.com.ar/electro/heladeras-freezers-y-cavas/frezeers"
"162";162;"Electro";"Heladeras, Freezers y Cavas";"Cavas";"https://www.jumbo.com.ar/electro/heladeras-freezers-y-cavas/cavas"
"163";163;"Electro";"Informática";"-";"https://www.jumbo.com.ar/electro/informatica"
"164";164;"Electro";"Lavado";"Lavarropas";"https://www.jumbo.com.ar/electro/lavado/lavarropas"
"165";165;"Electro";"Lavado";"Secarropas";"https://www.jumbo.com.ar/electro/lavado/secarropas"
"166";166;"Electro";"Lavado";"Lavavajillas";"https://www.jumbo.com.ar/electro/lavado/lavavajillas"
"167";167;"Electro";"Pequeños Electros";"Procesadoras";"https://www.jumbo.com.ar/electro/pequenos-electros/procesadoras"
"168";168;"Electro";"Pequeños Electros";"Licuadoras";"https://www.jumbo.com.ar/electro/pequenos-electros/licuadoras"
"169";169;"Electro";"Pequeños Electros";"Aspiradoras";"https://www.jumbo.com.ar/electro/pequenos-electros/aspiradoras"
"170";170;"Electro";"Pequeños Electros";"Batidoras";"https://www.jumbo.com.ar/electro/pequenos-electros/batidoras"
"171";171;"Electro";"Pequeños Electros";"Belleza Femenina";"https://www.jumbo.com.ar/electro/pequenos-electros/belleza-femenina"
"172";172;"Electro";"Pequeños Electros";"Pequeños Electros de Cocina";"https://www.jumbo.com.ar/electro/pequenos-electros/pequenos-electros-de-cocina"
"173";173;"Electro";"Pequeños Electros";"Cuidado Masculino";"https://www.jumbo.com.ar/electro/pequenos-electros/cuidado-masculino"
