nombre|precio|url_producto|url_imagen|rubro|id
CERVEZA CORONA BOTELLA 355ML.|78.0|http://tatito.com.ar/producto/cerv-corona-botella-355ml/|/2020/01/CERV-CORONA-BOTELLA-355ML.jpg|Bebidas > Cervezas y Fernet|00528
FERNET BRANCA 750CC|490.0|http://tatito.com.ar/producto/fernet-branca-750cc/|/2020/01/FERNET-BRANCA-750CC.jpg|Bebidas > Cervezas y Fernet|00529
Levadura Golondrina x 500 grs.|105.0|http://tatito.com.ar/producto/levadura-golondrina-x-500-grs/|/2020/05/levadura-golondrina-500-grs..jpg|Frescos y Congelados > Levaduras|00658
LEVADURA DUQUESA 500GR|118.0|http://tatito.com.ar/producto/levadura-duquesa-500gr/|/2019/11/levadura-duquesa.jpg|Frescos y Congelados > Levaduras|00659
Jamon Cocido Goggi Feteado x 100 grs.|40.0|http://tatito.com.ar/producto/jamon-coc-goggi-2/|/2020/01/JAMON-COC-GOGGI.jpg|Fiambreria > Jamón|00615
Jamon Cocido Lario Feteado x 100 grs.|56.0|http://tatito.com.ar/producto/jamon-cocido-lario/|/2020/01/FIAMBRE-COC-LARIO-COD-108.jpg|Fiambreria > Jamón|00616
Jamon Cocido Paladini Feteado x 100 grs.|58.0|http://tatito.com.ar/producto/jamon-cocido-paladini/|/2020/01/JAMON-COC-PALADINI.jpg|Fiambreria > Jamón|00617
Jamon Cocido Goggi con Cuero Feteado x 100 grs.|45.0|http://tatito.com.ar/producto/jamon-coc-goggi-c-cuero/|/2020/01/JAMON-COCIDO-GOGGI-CON-CUERO.jpg|Fiambreria > Jamón|00618
Miel Don Gustavo 500 cc|175.0|http://tatito.com.ar/producto/miel-don-gustavo-500-cc/|/2020/01/default.jpg|Desayuno > Miel|00609
Miel Don Gustavo 250 cc|100.0|http://tatito.com.ar/producto/miel-don-gustavo-250cc/|/2020/01/default.jpg|Desayuno > Miel|00610
Miel Colmenares Mata 260 Grs.|100.0|http://tatito.com.ar/producto/miel-mata-260gr/|/2019/11/miel-colmenares-mata-260.jpg|Desayuno > Miel|00611
Miel Colmenares Mata 500 Grs.|170.0|http://tatito.com.ar/producto/miel-mata-miel-mata-500gr-500ml/|/2019/11/miel-colmenares-mata-500.jpg|Desayuno > Miel|00612
Ravioles Madomi X 500 Grs.|57.0|http://tatito.com.ar/producto/ravioles-madomi-x500gr/|/2020/01/RAVIOLES-MADOMI-X500GR.jpg|Frescos y Congelados > Ravioles|00663
RAVIOLES LA TUCUMANITA 500GR|54.0|http://tatito.com.ar/producto/ravioles-la-tuc-500gr/|/2020/01/RAVIOLES-LA-TUC.500GR.jpg|Frescos y Congelados > Ravioles|00664
PASCUALINA MADOMI|58.0|http://tatito.com.ar/producto/pascualina-madomi/|/2020/01/PASCUALINA-MADOMI-LIGHT.jpg|Frescos y Congelados > Pascualinas|00661
PASCUALINA LA TUCUMANITA  2UN|54.0|http://tatito.com.ar/producto/pascualina-la-tuc-2un/|/2020/01/PASCUALINA-LA-TUC.-2UN.jpg|Frescos y Congelados > Pascualinas|00662
POSTRE MANFREY VAINILLA|33.0|http://tatito.com.ar/producto/postre-manfrey-vainilla/|/2020/01/POSTRE-MANFREY-VAINILLA.jpg|Lacteos > Postres|00688
